  1.72886765792168474E-002  8.12815925477267456E-004   0.0000000               0
  5.52027050445491716E-004  1.67441432993378284E-002   0.0000000               0
   0.0000000       0.0000000       0.0000000       0.0000000    
   0.0000000       0.0000000       0.0000000       0.0000000    
  0.24685065885020532      -0.24685065885020532        0.0000000    
  1.65566957111610881E-002  1.25359504806651935E-005   0.0000000               0
  1.25479990579635841E-005  1.57553752465026189E-002   0.0000000               0
   0.0000000       0.0000000       0.0000000       0.0000000    
   0.0000000       0.0000000       0.0000000       0.0000000    
  0.24685065885020532      -0.34214940653888148        0.0000000    
  1.57747974270656399E-002 -9.31398424938857704E-004   0.0000000               0
 -5.43555052402596621E-004  1.45830743142391830E-002   0.0000000               0
   0.0000000       0.0000000       0.0000000       0.0000000    
   0.0000000       0.0000000       0.0000000       0.0000000    
  0.24685065885020532      -0.43404771720184693        0.0000000    
  1.49618091061080819E-002 -1.98179934475787222E-003   0.0000000               0
 -1.07981303773588343E-003  1.32475687617444413E-002   0.0000000               0
   0.0000000       0.0000000       0.0000000       0.0000000    
   0.0000000       0.0000000       0.0000000       0.0000000    
  0.24685065885020532      -0.52163226288156528        0.0000000    
  1.41394102881009925E-002 -3.09432658327781244E-003   0.0000000               0
 -1.55504886810835241E-003  1.17746009311206143E-002   0.0000000               0
   0.0000000       0.0000000       0.0000000       0.0000000    
   0.0000000       0.0000000       0.0000000       0.0000000    
  0.24685065885020532      -0.60403258714842112        0.0000000    
  1.33328469124855790E-002 -4.21798315418691391E-003   0.0000000               0
 -1.92641604459660508E-003  1.01985850250039829E-002   0.0000000               0
   0.0000000       0.0000000       0.0000000       0.0000000    
   0.0000000       0.0000000       0.0000000       0.0000000    
  0.24685065885020532      -0.68042975561555086        0.0000000    
  1.25701601572920495E-002 -5.29787147086820294E-003   0.0000000               0
 -2.15463887314212930E-003  8.56430982641704502E-003   0.0000000               0
   0.0000000       0.0000000       0.0000000       0.0000000    
   0.0000000       0.0000000       0.0000000       0.0000000    
  0.24685065885020532      -0.75006449393667485        0.0000000    
  1.18796676655139443E-002 -6.28047453553909688E-003   0.0000000               0
 -2.21119789390401876E-003  6.92629661706075511E-003   0.0000000               0
   0.0000000       0.0000000       0.0000000       0.0000000    
   0.0000000       0.0000000       0.0000000       0.0000000    
  0.24685065885020532      -0.81224473177744239        0.0000000    
  1.12859986153661662E-002 -7.12083789771381179E-003   0.0000000               0
 -2.08629054720026012E-003  5.34556549040991584E-003   0.0000000               0
   0.0000000       0.0000000       0.0000000       0.0000000    
   0.0000000       0.0000000       0.0000000       0.0000000    
  0.24685065885020532      -0.86635247601267551        0.0000000    
  1.08056568655913888E-002 -7.78999513293450723E-003   0.0000000               0
 -1.79547660576494564E-003  3.88435472176544474E-003   0.0000000               0
   0.0000000       0.0000000       0.0000000       0.0000000    
   0.0000000       0.0000000       0.0000000       0.0000000    
  0.24685065885020532      -0.91184993906373191        0.0000000    
  1.04435973964096384E-002 -8.28023890567061542E-003   0.0000000               0
 -1.38242674470760176E-003  2.60010495984066767E-003   0.0000000               0
   0.0000000       0.0000000       0.0000000       0.0000000    
   0.0000000       0.0000000       0.0000000       0.0000000    
  0.24685065885020532      -0.94828483841723243        0.0000000    
  1.01923349282419494E-002 -8.60588255289102336E-003   0.0000000               0
 -9.15571510840718040E-004  1.54039375992054135E-003   0.0000000               0
   0.0000000       0.0000000       0.0000000       0.0000000    
   0.0000000       0.0000000       0.0000000       0.0000000    
  0.24685065885020532      -0.97529469048270923        0.0000000    
  1.00344758241223912E-002 -8.79824949398446896E-003   0.0000000               0
 -4.77882706616405257E-004  7.40219380580023627E-004   0.0000000               0
   0.0000000       0.0000000       0.0000000       0.0000000    
   0.0000000       0.0000000       0.0000000       0.0000000    
